Date,Time,Energy Consumption (kWh),Total Cost ($)
2023-01-01,00:00:00,1.6,0.8
2023-01-01,01:00:00,1.93,0.97
2023-01-01,02:00:00,1.71,0.85
2023-01-01,03:00:00,1.59,0.79
2023-01-01,04:00:00,1.35,0.67
2023-01-01,05:00:00,1.79,0.9
2023-01-01,06:00:00,1.38,0.69
2023-01-01,07:00:00,2.28,1.14
2023-01-01,08:00:00,2.43,1.21
2023-01-01,09:00:00,1.27,0.63
2023-01-01,10:00:00,2.08,1.04
2023-01-01,11:00:00,1.56,0.78
2023-01-01,12:00:00,1.64,0.82
2023-01-01,13:00:00,2.35,1.18
2023-01-01,14:00:00,0.64,0.32
2023-01-01,15:00:00,0.67,0.34
2023-01-01,16:00:00,0.54,0.27
2023-01-01,17:00:00,2.17,1.08
2023-01-01,18:00:00,2.06,1.03
2023-01-01,19:00:00,2.24,1.12
2023-01-01,20:00:00,2.46,1.23
2023-01-01,21:00:00,2.1,1.05
2023-01-01,22:00:00,1.42,0.71
2023-01-01,23:00:00,2.06,1.03
2023-01-02,00:00:00,0.74,0.37
2023-01-02,01:00:00,1.78,0.89
2023-01-02,02:00:00,0.79,0.39
2023-01-02,03:00:00,2.39,1.19
2023-01-02,04:00:00,1.54,0.77
2023-01-02,05:00:00,1.33,0.66
2023-01-02,06:00:00,1.03,0.51
2023-01-02,07:00:00,2.05,1.02
2023-01-02,08:00:00,1.41,0.71
2023-01-02,09:00:00,1.64,0.82
2023-01-02,10:00:00,0.54,0.27
2023-01-02,11:00:00,1.74,0.87
2023-01-02,12:00:00,1.72,0.86
2023-01-02,13:00:00,1.73,0.87
2023-01-02,14:00:00,2.39,1.19
2023-01-02,15:00:00,1.86,0.93
2023-01-02,16:00:00,1.22,0.61
2023-01-02,17:00:00,1.37,0.69
2023-01-02,18:00:00,1.9,0.95
2023-01-02,19:00:00,0.62,0.31
2023-01-02,20:00:00,1.83,0.92
2023-01-02,21:00:00,1.84,0.92
2023-01-02,22:00:00,0.92,0.46
2023-01-02,23:00:00,0.76,0.38
2023-01-03,00:00:00,1.13,0.57
2023-01-03,01:00:00,1.23,0.61
2023-01-03,02:00:00,1.64,0.82
2023-01-03,03:00:00,1.38,0.69
2023-01-03,04:00:00,2.48,1.24
2023-01-03,05:00:00,0.7,0.35
2023-01-03,06:00:00,0.92,0.46
2023-01-03,07:00:00,0.82,0.41
2023-01-03,08:00:00,1.81,0.9
2023-01-03,09:00:00,1.01,0.5
2023-01-03,10:00:00,1.43,0.72
2023-01-03,11:00:00,0.99,0.49
2023-01-03,12:00:00,0.82,0.41
2023-01-03,13:00:00,0.72,0.36
2023-01-03,14:00:00,1.81,0.91
2023-01-03,15:00:00,0.78,0.39
2023-01-03,16:00:00,0.89,0.45
2023-01-03,17:00:00,1.24,0.62
2023-01-03,18:00:00,2.14,1.07
2023-01-03,19:00:00,0.69,0.35
2023-01-03,20:00:00,2.18,1.09
2023-01-03,21:00:00,0.69,0.35
2023-01-03,22:00:00,2.45,1.23
2023-01-03,23:00:00,1.44,0.72
